#OTU ID	barcode85	barcode26	barcode73	barcode13	barcode49	barcode01	barcode86	barcode37	barcode38	barcode14	barcode02	barcode62	barcode50	barcode61	barcode25	barcode74
Zotu2	739	3753	2011	1597	3875	1948	0	9880	3312	5204	326	1948	5313	351	836	70
Zotu5	640	1449	2082	5697	244	6782	0	527	135	1488	196	56	199	521	3700	1114
Zotu531	38	36	27	46	53	28	1	90	52	28	74	41	89	13	39	0
Zotu1298	16	22	35	29	5	37	0	7	5	15	18	4	15	18	18	58
Zotu14	299	689	952	2739	31	3200	0	88	46	739	92	21	74	218	1770	290
Zotu1918	14	25	7	6	3	6	0	4	16	17	8	13	40	5	7	1
Zotu1295	37	0	63	1	0	0	0	0	0	0	19	0	0	20	0	26
Zotu1	11159	2935	25222	4211	1027	4674	0	1932	2120	3690	3585	957	3041	7853	2584	2497
Zotu41	261	295	354	541	55	464	0	55	379	270	508	259	752	197	393	95
Zotu1841	28	0	45	13	1	14	0	1	5	1	2	3	12	17	11	0
Zotu19	746	166	398	677	159	826	0	257	564	170	1545	555	1328	316	639	4
Zotu840	40	50	44	36	11	18	0	13	26	48	37	27	60	22	39	22
Zotu40	1229	402	618	518	79	646	0	70	83	361	153	95	242	486	566	92
Zotu2467	11	1	18	10	17	6	0	28	4	6	11	2	23	9	8	2
Zotu1123	70	4	44	12	0	6	0	0	2	6	4	1	7	23	7	2
Zotu3794	5	2	3	3	0	5	0	1	2	5	0	0	3	2	3	12
Zotu30	276	313	541	428	90	527	0	142	88	240	312	69	144	221	300	1153
Zotu940	22	14	23	12	1	15	0	6	15	7	6	22	44	14	10	24
Zotu724	21	29	55	4	4	10	0	15	40	51	52	10	66	37	5	29
Zotu13	3538	53	2703	802	1	1020	0	0	0	35	12	0	1	1746	659	454
Zotu49	180	58	991	1118	0	1317	0	3	2	71	4	3	5	89	558	4
Zotu58	206	358	147	150	189	192	0	294	188	312	378	201	501	118	128	36
Zotu72	318	572	390	232	52	308	0	56	67	508	133	50	180	171	218	21
Zotu925	18	34	27	11	1	16	0	2	9	27	56	5	25	15	12	1
Zotu1386	42	27	17	20	5	6	0	1	19	22	7	29	69	12	17	6
Zotu1782	7	0	1	3	20	3	0	59	2	0	21	3	2	1	0	26
Zotu93	342	129	365	331	164	564	0	289	57	188	310	31	80	171	275	5
Zotu2287	9	14	6	19	1	12	0	0	1	18	2	0	0	2	9	7
Zotu2034	8	42	10	29	0	34	0	0	1	25	2	0	1	8	17	6
Zotu512	19	8	47	51	19	53	0	26	56	2	7	42	131	16	45	131
Zotu264	43	76	53	358	3	367	0	8	9	87	24	3	17	17	226	6
Zotu352	314	46	154	69	17	69	0	25	13	27	71	16	46	128	106	12
Zotu166	28	2	17	403	256	381	0	377	3	6	3	1	7	7	295	1
Zotu38	434	497	682	432	183	534	0	281	549	408	417	210	822	292	236	138
Zotu178	247	138	209	31	215	49	0	220	97	134	13	75	213	128	29	104
Zotu806	14	11	5	9	39	7	0	55	17	25	58	11	36	6	6	27
Zotu1280	20	1	80	0	1	0	0	0	2	0	0	2	9	20	4	10
Zotu1022	18	40	27	0	0	0	0	2	8	14	46	12	30	27	0	0
Zotu89	140	53	276	372	116	338	0	218	152	63	245	100	300	89	214	108
Zotu4	2875	3359	4721	2610	1152	3695	0	2064	3697	2762	3025	1564	5750	1848	1526	1109
Zotu71	376	302	667	428	59	451	0	89	50	214	309	42	110	276	301	184
Zotu56	111	112	208	1268	20	1472	0	38	16	96	161	10	17	98	849	56
Zotu243	56	52	98	94	20	103	0	17	17	51	61	11	39	47	56	206
Zotu409	116	0	164	179	1	223	0	0	0	1	5	0	0	77	176	3
Zotu208	139	155	115	94	48	169	0	73	283	132	142	137	556	57	54	270
Zotu427	99	1	142	209	0	101	0	1	11	6	11	6	26	100	162	10
Zotu17	601	439	899	284	62	295	0	76	524	457	3512	318	953	466	168	294
Zotu811	42	41	27	61	11	47	0	13	19	55	21	12	0	21	34	0
Zotu669	40	28	40	33	13	38	0	36	47	32	44	31	75	9	24	0
Zotu69	196	42	280	309	71	313	0	137	62	37	44	54	134	131	177	610
Zotu492	124	3	166	63	0	81	0	1	0	8	6	0	0	54	32	0
Zotu6	1444	1332	3590	3703	843	4387	0	2317	942	1939	118	611	1700	594	2154	69
Zotu200	108	35	96	116	0	141	0	5	71	53	333	40	95	67	103	43
Zotu777	24	9	38	34	47	37	0	52	13	12	34	18	34	18	14	10
Zotu141	126	62	219	275	18	265	0	36	75	72	121	54	148	67	195	86
Zotu3808	7	13	13	6	2	7	0	7	19	22	13	4	31	8	3	22
Zotu97	263	241	430	191	54	287	0	144	168	186	234	91	263	173	114	53
Zotu52	407	135	699	454	0	382	0	2	98	201	1283	73	177	280	334	156
Zotu7	608	851	323	530	56	3216	0	129	4204	672	2082	3260	3184	101	1734	206
Zotu1599	16	2	31	28	0	23	0	0	3	4	1	1	6	12	13	9
Zotu543	23	10	26	26	0	23	0	0	55	8	114	57	130	12	22	51
Zotu1224	69	5	60	3	3	1	0	5	2	13	5	1	3	48	2	0
Zotu1421	18	30	8	13	3	17	0	15	26	30	12	18	59	5	2	10
Zotu1265	19	33	11	14	5	21	0	1	27	21	10	10	48	11	9	13
Zotu380	80	74	27	14	15	52	0	29	32	104	338	34	30	47	36	55
Zotu613	92	0	54	17	0	19	0	0	73	4	35	69	132	55	16	1
Zotu433	42	44	85	113	8	124	0	5	18	62	89	9	23	24	90	125
Zotu34	805	331	535	447	13	461	0	15	369	281	414	164	566	479	301	341
Zotu45	302	267	373	441	137	549	0	253	301	209	616	261	652	209	299	327
Zotu194	96	117	168	150	30	162	0	80	30	122	115	18	42	73	83	744
Zotu532	37	27	49	63	1	70	0	0	52	22	103	32	95	13	53	6
Zotu294	39	26	82	35	173	35	0	187	4	15	45	6	9	27	14	27
Zotu53	146	123	126	1182	1	1729	0	0	210	168	721	130	374	47	696	53
Zotu245	1	164	1	220	19	272	0	15	311	105	59	145	401	0	118	1
Zotu46	205	1237	108	9	1	0	0	1	137	1152	179	236	405	62	0	163
Zotu1367	47	17	37	96	14	67	0	24	1	8	7	0	3	22	34	2
Zotu24	447	790	407	659	265	626	0	292	567	506	645	567	1211	302	832	99
Zotu443	41	26	67	44	18	82	0	26	8	29	42	6	23	10	28	130
Zotu324	82	52	123	145	5	154	0	4	58	68	111	37	128	49	102	338
Zotu2147	13	17	19	10	2	23	0	3	4	13	6	1	10	15	6	19
Zotu1200	41	2	108	20	0	45	0	0	3	2	15	2	1	27	18	1
Zotu2075	19	20	3	2	0	0	0	0	4	48	47	2	8	8	0	0
Zotu113	117	458	91	41	74	72	0	92	193	346	334	182	484	59	60	78
Zotu106	173	230	273	162	82	256	0	115	219	173	195	99	307	137	98	66
Zotu911	182	1	6	15	0	4	0	2	6	2	63	12	7	93	8	4
