OTU	barcode01	barcode02	barcode13	barcode14	barcode25	barcode26	barcode37	barcode38	barcode49	barcode50	barcode61	barcode62	barcode73	barcode74	barcode85	barcode86	Kingdom	Phylum	Class	Order	Family	Genus	Species
FLASV1.1417	567	5	451	21	382	34	1	1	2	0	916	0	1490	86	1916	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__C10-SB1A	 f__Amarolineaceae	 g__Ca_Amarolinea	 s__Ca_Amarolinea_dominans
FLASV10.1442	512	92	409	1333	232	952	2607	948	1038	1423	93	491	496	2	182	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Intrasporangiaceae	 g__Ca_Phosphoribacter	 s__midas_s_5
FLASV100.1441	1110	0	977	153	534	105	1	0	0	0	12	0	97	1	21	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_100
FLASV1000.1425	2	3	2	2	1	6	1	1	1	2	1	0	5	4	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Romboutsia	 s__Romboutsia_ilealis
FLASV100001.1308	0	6	1	2	3	5	0	1	0	0	0	0	0	0	3	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Roseomonas	 s__midas_s_100001
FLASV100002.1351	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__p-1088-a5_gut_group	 s__midas_s_446
FLASV100005.1310	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Tistrellales	 f__Geminicoccaceae	 g__Ca_Alysiosphaera	 s__midas_s_100005
FLASV100014.1422	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__Ca_Cloacimonas	 s__midas_s_7660
FLASV100018.1353	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Family_XI	 g__Tissierella	 s__midas_s_100018
FLASV10002.1305	171	104	127	37	63	44	56	12	26	40	20	10	78	18	43	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Hyphomicrobium	 s__midas_s_121
FLASV100021.1396	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__AKAU3564_sediment_group	 g__midas_g_100021	 s__midas_s_100021
FLASV100022.1359	0	4	0	7	1	3	1	0	0	0	0	0	0	1	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Terrimonas	 s__midas_s_1889
FLASV100026.1371	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Desulfobacterota	 c__Desulfovibrionia	 o__Desulfovibrionales	 f__Desulfomicrobiaceae	 g__Desulfomicrobium	 s__midas_s_21122
FLASV100027.1374	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__W5	 s__midas_s_8265
FLASV100030.1362	0	0	0	0	2	0	0	0	0	0	0	0	0	33	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_vadinHA17	 g__midas_g_800	 s__midas_s_7434
FLASV10004.1356	0	0	0	3	0	3	0	3	1	5	0	2	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Rhodoferax	 s__midas_s_8140
FLASV100045.1394	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	k__Bacteria	 p__Caldatribacteriota	 c__Caldatribacteriia	 o__Caldatribacteriales	 f__Caldatribacteriaceae	 g__Ca_Caldatribacterium	 s__midas_s_4106
FLASV10005.1353	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__OLB12	 s__midas_s_1472
FLASV100050.1352	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	k__Bacteria	 p__Firmicutes	 c__midas_c_4	 o__DTU014	 f__midas_f_148	 g__midas_g_515	 s__midas_s_1315
FLASV100051.1475	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Gracilibacteraceae	 f__Gracilibacter	 g__midas_g_669	 s__midas_s_49585
FLASV100054.1342	0	0	0	0	0	4	0	3	0	7	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_10575
FLASV10006.1340	67	153	59	51	31	42	33	18	15	20	27	5	133	19	34	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_151
FLASV100060.1387	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	k__Bacteria	 p__Firmicutes	 c__Syntrophomonadia	 o__Syntrophomonadales	 f__Syntrophomonadaceae	 g__Syntrophomonas	 s__midas_s_5075
FLASV100069.1338	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Synergistota	 c__Synergistia	 o__Synergistales	 f__Synergistaceae	 g__midas_g_762	 s__midas_s_7319
FLASV10007.1340	1091	1	892	139	509	98	0	0	0	2	15	0	109	1	19	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_100
FLASV100073.1286	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Amaricoccus	 s__midas_s_13927
FLASV100076.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__Ruminofilibacter	 s__midas_s_4090
FLASV10008.1344	2	1	1	0	0	0	5	0	3	2	1	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_3560
FLASV100082.1359	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Sulfuritalea	 s__midas_s_100082
FLASV100089.1324	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Terrisporobacter	 s__midas_s_78
FLASV100093.1338	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria	 p__Synergistota	 c__Synergistia	 o__Synergistales	 f__Synergistaceae	 g__midas_g_762	 s__midas_s_7319
FLASV100095.1375	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__WCHB1-81	 o__midas_o_765	 f__midas_f_765	 g__midas_g_765	 s__midas_s_765
FLASV1001.1459	8	3	10	4	7	3	22	3	13	1	3	4	7	0	3	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__midas_o_26	 f__midas_f_98	 g__midas_g_268	 s__midas_s_268
FLASV10010.1350	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__Lentimicrobium	 s__midas_s_10010
FLASV100105.1357	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__Macellibacteroides	 s__midas_s_5206
FLASV100108.1353	0	4	0	1	0	3	0	0	0	0	0	0	0	5	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Ca_Opimibacter	 s__midas_s_60
FLASV10011.1342	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Uliginosibacterium	 s__midas_s_53
