barcode	median_alnlen	median_querylen	median_IDfrac	mapped_reads	total_reads	total_filtered_reads	pct_mapped	nfilt	pct_filt
barcode85	494	500	0.991952	124091	125864	124102	99.99	9613	7.75
barcode26	492	506	0.993258	119116	120525	119121	100	6927	5.82
barcode73	492	497	0.991968	188718	191146	188731	99.99	13562	7.19
barcode13	483	498	0.991718	221394	224485	221417	99.99	16938	7.65
barcode49	492	505	0.991935	79919	81033	79921	100	5951	7.45
barcode01	483	499	0.991667	264407	269196	264437	99.99	21106	7.98
barcode86	484	505	0.98778	33	33	33	100	2	6.06
barcode37	486	499	0.992016	131350	133070	131355	100	8292	6.31
barcode38	496	511	0.992308	108639	109926	108646	99.99	6572	6.05
barcode14	491	503	0.991984	124263	125773	124271	99.99	8669	6.98
barcode02	485	500	0.991952	228409	231642	228423	99.99	17309	7.58
barcode62	496	511	0.992293	77540	78576	77543	100	5029	6.49
barcode50	495	509	0.992032	183098	185375	183103	100	11576	6.32
barcode61	494	499	0.991984	75153	76232	75155	100	5016	6.67
barcode25	489	503	0.991886	162638	165024	162650	99.99	12106	7.44
barcode74	494	509	0.992063	74908	229494	226848	33.02	4770	6.37
