"","Barcode","PlantID","Date","LibID","Primer"
"1","barcode01","LYN",44659,"LIB-Lynetten-OK-17","v1v3ont"
"2","barcode13","LYN",44664,"LIB-Lynetten-OK-19","v1v3ont"
"3","barcode25","LYN",44670,"LIB-Lynetten-OK-21","v1v3ont"
"4","barcode37","FRE",44656,"LIB-Fredericia-LT-661","v1v3ont"
"5","barcode49","FRE",44663,"LIB-Fredericia-LT-663","v1v3ont"
"6","barcode61","DAM",44644,"LIB-Damhusaaen-OK-17","v1v3ont"
"7","barcode73","DAM",44650,"LIB-Damhusaaen-OK-19","v1v3ont"
"8","barcode85","DAM",44659,"LIB-Damhusaaen-OK-21","v1v3ont"
"9","barcode02","VIB",44656,"LIB-AarhusVand-OK-30","v1v3ont"
"10","barcode14","EGÅ",44656,"LIB-AarhusVand-OK-32","v1v3ont"
"11","barcode26","EGÅ",44662,"LIB-AarhusVand-OK-34","v1v3ont"
"12","barcode38","AAW",44664,"LIB-Aalborg-Vest-OK-10","v1v3ont"
"13","barcode50","AAW",44671,"LIB-Aalborg-Vest-OK-11","v1v3ont"
"14","barcode62","AAW",44678,"LIB-Aalborg-Vest-OK-12","v1v3ont"
"15","barcode74","CTRL",NA,"PCR pos","v1v3ont"
"16","barcode86","CTRL",NA,"PCR neg","v1v3ont"
