#OTU ID	MQ201118-152	MQ201118-153	MQ201118-154	MQ201118-155	MQ201118-156	MQ201118-157	MQ201118-158	MQ201118-159	MQ201118-160	MQ201118-161	MQ201118-162	MQ201118-163	MQ201118-164	MQ201118-165	MQ201118-166	MQ201118-167	MQ201118-168	MQ201118-169	MQ201009-287	MQ201009-288	MQ201009-289	MQ201009-290	MQ201009-291	MQ201009-292	MQ201009-293	MQ201009-294	MQ201009-295	MQ210618-86	MQ210618-87	MQ210618-88	MQ210618-89	MQ210618-90	MQ210618-91	MQ201118-151	MQ201118-170	MQ201118-171	MQ201118-172	MQ201118-173	MQ201118-174	MQ201118-175	MQ201118-176	MQ201118-177	MQ201118-178	MQ201118-179	MQ201118-180	MQ201118-181	MQ201118-182	MQ201118-183	MQ211213-101	MQ211213-102	MQ211213-103	MQ201110-288	MQ201110-289	MQ201110-290	MQ201110-291	MQ201110-292	MQ201110-293	MQ201110-294	MQ201110-295	MQ201110-296	MQ201110-297	MQ201110-298	MQ201110-299	MQ201110-300	MQ201110-301	MQ201110-302	MQ201110-303	MQ201110-304	MQ201110-305	MQ201110-306	MQ201110-307	MQ201110-308	MQ201030-232	MQ201030-233	MQ201030-234	MQ201030-235	MQ201030-236	MQ201030-237	MQ201030-238	MQ201030-239	MQ201030-240	MQ201030-241	MQ220601-127	MQ220601-128	MQ220601-129	MQ220601-130	MQ220601-131	MQ220601-132	MQ220601-133	MQ220601-134	MQ220601-135	MQ220601-136	MQ220601-137	MQ220601-138	MQ201009-283	MQ201009-284	MQ201009-285	MQ201009-286	MQ211213-114	MQ211213-115	MQ211213-116	MQ211213-117	MQ211213-118	MQ211213-119	MQ211213-120	MQ201110-279	MQ201110-280	MQ201110-281	MQ201110-282	MQ201110-283	MQ201110-284	MQ201110-285	MQ201110-286	MQ201110-287	MQ201030-215	MQ201030-216	MQ201030-217	MQ201030-218	MQ201030-219	MQ201030-220	MQ201030-221	MQ201030-222	MQ201030-223	MQ201030-224	MQ201030-225	MQ201030-226	MQ201030-227	MQ201030-228	MQ201030-229	MQ201030-230	MQ201030-231	MQ211213-104	MQ211213-105	MQ211213-106	MQ211213-107	MQ211213-108	MQ211213-109	MQ211213-110	MQ211213-111	MQ211213-112	MQ211213-113
ASV1	174	147	155	173	232	249	305	259	232	255	280	326	324	285	308	508	431	792	996	633	552	406	241	241	177	251	212	615	1064	613	1541	1553	1939	128	485	484	647	442	391	427	374	377	370	307	564	0	56	0	1115	934	846	1190	957	1022	836	1305	1117	1606	2811	1176	822	855	585	589	276	288	274	347	286	682	357	360	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	416	512	623	1465	993	866	1210	776	960	1156	986	1228	1325	1272	1163	816	670	812	1007	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	773	863	1136	1149	953	880	766	1248	919	1405
ASV2	1539	998	990	2486	1542	2476	1504	2466	1873	2146	2113	2366	2316	2423	1833	798	1059	3593	957	1354	1134	1270	718	541	464	400	263	547	671	469	535	626	507	849	1156	738	862	401	234	188	169	227	184	223	176	2	670	1	1145	1356	1146	21	12	18	13	29	38	56	45	65	92	97	92	122	62	55	55	58	46	56	44	41	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	542	450	804	831	3309	2165	1888	1949	1132	2148	3033	6	13	13	10	11	16	9	12	10	10	9	5	3	1	3	4	2	3	4	1	0	4	1	1	1	1	944	793	1024	1239	791	807	863	2018	1957	3016
ASV3	430	312	477	498	514	554	705	720	773	854	1267	1074	1301	1166	1478	1308	1905	4163	428	712	666	695	817	1016	1613	1576	1773	1085	1640	709	477	457	416	290	1582	1706	2856	1363	1127	1163	1229	1097	1038	1023	1198	0	108	0	4085	4038	3220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	180	95	308	266	1736	1104	959	1215	1074	786	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2238	2072	2146	2327	1806	1314	933	1534	1149	1825
ASV4	863	533	452	614	597	561	572	658	562	571	690	575	487	469	514	316	518	449	363	303	239	274	229	179	153	142	152	159	232	309	360	367	595	652	220	238	380	160	126	130	183	156	117	137	151	0	143	0	226	440	364	326	414	295	425	423	459	1117	581	934	1044	770	706	813	400	643	519	490	516	374	498	469	147	122	270	122	200	206	289	176	192	169	57	69	58	55	63	71	65	83	116	93	167	72	451	573	401	384	1954	959	654	568	258	1080	2654	560	557	453	369	413	255	239	346	348	409	566	483	406	431	666	508	437	511	541	566	310	286	299	264	363	310	406	462	473	549	338	303	420	1132	1179	1901
ASV5	404	246	257	583	355	533	414	638	501	599	638	696	898	918	839	279	429	1677	888	797	812	709	375	290	217	257	171	512	750	477	520	683	599	196	924	417	582	315	219	196	231	338	382	365	323	0	282	0	2103	2660	2130	87	82	56	51	87	133	206	195	235	245	227	214	220	143	139	128	179	180	300	220	248	122	100	146	77	73	75	77	102	77	46	14	9	15	5	4	10	5	4	2	5	0	1	692	548	687	720	2257	1322	922	937	422	800	972	91	84	83	86	82	62	50	61	86	304	363	376	390	430	469	347	303	321	254	271	175	129	154	203	194	170	1777	1548	1728	1979	1057	983	1043	1985	1550	2204
ASV6	1107	1067	1284	1341	1312	1091	1450	1181	1008	920	1026	1057	1156	986	830	561	463	399	170	101	113	73	64	68	52	57	60	79	103	79	70	61	63	1321	387	439	931	407	349	260	398	405	432	501	724	0	133	0	699	527	397	40	41	36	45	47	31	62	35	40	39	36	38	39	16	15	13	9	17	29	19	17	8	4	8	2	5	2	2	7	1	4	1	1	2	1	2	2	3	4	2	4	2	0	83	102	114	125	1400	944	855	1137	1284	964	1214	30	36	35	37	47	44	18	37	25	60	62	45	50	42	59	44	47	35	42	49	28	22	15	10	12	6	445	493	718	909	956	857	808	1181	921	1336
ASV7	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	1	0	7	2	0	0	0	0	7	5	1	3	1	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ASV8	471	587	637	566	527	464	487	627	421	456	576	346	388	308	277	337	191	193	186	252	217	266	276	275	254	199	267	176	280	302	222	222	306	285	353	409	1038	320	479	311	359	303	465	378	409	0	77	0	278	371	321	114	70	50	46	48	50	143	65	99	125	91	78	76	78	102	81	117	80	86	98	106	4	0	2	1	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	236	226	299	255	797	500	292	362	204	476	624	117	86	78	74	73	30	60	116	140	1	3	4	4	2	5	6	3	3	3	3	0	1	0	0	0	0	382	343	360	327	253	283	237	574	567	947
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	181	109	231	204	165	543	329	498	11	145	164	209	129	450	0	1	6	10	5	3	3	6	4	6	5	2	0	2	0	5	1	8	1	2	0	0	0	0	1	0	0	1	1	2	2	2	1	16	28	58	44	83	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	22	18	18	15	3	5	2	4	10	4	3	0	4	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	6	2	2	7	9	10	7	8
ASV10	55	39	32	50	60	45	75	56	52	56	59	41	61	68	42	25	43	86	79	46	44	31	16	11	9	10	11	36	76	34	52	66	82	36	23	25	38	24	21	23	12	16	19	19	26	0	71	0	47	69	53	18	12	9	17	24	10	26	34	20	13	13	13	14	5	11	4	7	8	12	15	7	17	8	14	6	3	4	2	18	8	5	3	7	2	5	2	4	6	8	13	4	9	5	13	18	28	35	70	72	59	49	33	44	61	14	11	19	14	16	19	8	11	18	196	182	150	179	154	147	105	135	187	114	127	104	69	42	28	27	35	42	38	55	69	59	48	52	56	56	81
