SampleID	SampleContent	SampleSite	SampleDate	Month
MQ201030-215	AS	Kalundborg	15/01/2020	1
MQ201030-216	AS	Kalundborg	24/01/2020	1
MQ201030-217	AS	Kalundborg	27/01/2020	1
MQ201030-218	AS	Kalundborg	03/02/2020	2
MQ201030-219	AS	Kalundborg	10/02/2020	2
MQ201030-220	AS	Kalundborg	17/02/2020	2
MQ201030-221	AS	Kalundborg	24/02/2020	2
MQ201030-222	AS	Kalundborg	05/03/2020	3
MQ201030-223	AS	Kalundborg	03/04/2020	4
MQ201030-224	AS	Kalundborg	08/04/2020	4
MQ201030-225	AS	Kalundborg	15/04/2020	4
MQ201030-226	AS	Kalundborg	20/04/2020	4
MQ201030-227	AS	Kalundborg	29/04/2020	4
MQ201030-228	AS	Kalundborg	04/05/2020	5
MQ201030-229	AS	Kalundborg	13/05/2020	5
MQ201030-230	AS	Kalundborg	18/05/2020	5
MQ201030-231	AS	Kalundborg	25/05/2020	5
MQ201030-232	AS	Kalundborg	03/06/2020	6
MQ201030-233	AS	Kalundborg	10/06/2020	6
MQ201030-234	AS	Kalundborg	19/06/2020	6
MQ201030-235	AS	Kalundborg	08/07/2020	7
MQ201030-236	AS	Kalundborg	13/07/2020	7
MQ201030-237	AS	Kalundborg	27/07/2020	7
MQ201030-238	AS	Kalundborg	05/08/2020	8
MQ201030-239	AS	Kalundborg	12/08/2020	8
MQ201030-240	AS	Kalundborg	17/08/2020	8
MQ201030-241	AS	Kalundborg	28/08/2020	8
MQ220601-127	AS	Kalundborg	09/09/2020	9
MQ220601-128	AS	Kalundborg	25/09/2020	9
MQ220601-129	AS	Kalundborg	30/09/2020	9
MQ220601-130	AS	Kalundborg	05/10/2020	10
MQ220601-131	AS	Kalundborg	16/10/2020	10
MQ220601-132	AS	Kalundborg	19/10/2020	10
MQ220601-133	AS	Kalundborg	28/10/2020	10
MQ220601-134	AS	Kalundborg	02/11/2020	11
MQ220601-135	AS	Kalundborg	09/11/2020	11
MQ220601-136	AS	Kalundborg	18/11/2020	11
MQ220601-137	AS	Kalundborg	25/11/2020	11
MQ220601-138	AS	Kalundborg	07/12/2020	12
MQ201009-283	AS	Lynetten	09/01/2020	1
MQ201009-284	AS	Lynetten	15/01/2020	1
MQ201009-285	AS	Lynetten	11/02/2020	2
MQ201009-286	AS	Lynetten	25/02/2020	2
MQ201009-287	AS	Lynetten	11/03/2020	3
MQ201009-288	AS	Lynetten	14/05/2020	5
MQ201009-289	AS	Lynetten	28/05/2020	5
MQ201009-290	AS	Lynetten	10/06/2020	6
MQ201009-291	AS	Lynetten	23/06/2020	6
MQ201009-292	AS	Lynetten	09/07/2020	7
MQ201009-293	AS	Lynetten	23/07/2020	7
MQ201009-294	AS	Lynetten	14/08/2020	8
MQ201009-295	AS	Lynetten	28/08/2020	8
MQ210618-86	AS	Lynetten	02/09/2020	9
MQ210618-87	AS	Lynetten	16/09/2020	9
MQ210618-88	AS	Lynetten	08/10/2020	10
MQ210618-89	AS	Lynetten	04/11/2020	11
MQ210618-90	AS	Lynetten	24/11/2020	11
MQ210618-91	AS	Lynetten	08/12/2020	12
MQ201118-151	AS	Randers	03/01/2020	1
MQ201118-152	AS	Randers	07/01/2020	1
MQ201118-153	AS	Randers	17/01/2020	1
MQ201118-154	AS	Randers	21/01/2020	1
MQ201118-155	AS	Randers	29/01/2020	1
MQ201118-156	AS	Randers	06/02/2020	2
MQ201118-157	AS	Randers	14/02/2020	2
MQ201118-158	AS	Randers	18/02/2020	2
MQ201118-159	AS	Randers	27/02/2020	2
MQ201118-160	AS	Randers	02/03/2020	3
MQ201118-161	AS	Randers	10/03/2020	3
